Kim Jong-Un	North Korea, Executive Executive Office Government Major Party (In Government) Parties Elite (National) Major Party Government
Media Personnel (Afghanistan)	Social Media
Media (Afghanistan)	Social Media
Islamic Preacher (Afghanistan)	National Religious Muslim International Religious Social
Citizen (Afghanistan)	General Population / Civilian / Social Social
United Nations	International Government Organizations, Global International Government Organization Global Diplomatic IGOs
Military (Myanmar)	Military Government
Police (Philippines)	Police Government
Citizen (Philippines)	General Population / Civilian / Social Social
Philippine National Police	Philippines, National / Border Divisions Police Government
Military Personnel (Philippines)	Military Government
Jose Maria Sison	Philippines, Communist Exiles Ideological Dissident Insurgents
Rodrigo Duterte	Philippines, Executive Executive Office Local Municipal Government
Police (Australia)	Police Government
Citizen (Australia)	General Population / Civilian / Social Social
Paul Keating	Australia, Elite
Malcolm Bligh Turnbull	Australia, Executive Executive Office Lower House Government Major Party (In Government) Parties Legislative / Parliamentary Elite (National) Major Party Government Opposition Major Party (Out Of Government)
Head of Government (Australia)	Executive Office Executive Government
Police (India)	Police Government
Women (India)	General Population / Civilian / Social Social
Xi Jinping	China, Executive Executive Office Unicameral Government Major Party (In Government) Parties Legislative / Parliamentary Elite (National) Major Party Military Government
Citizen (China)	General Population / Civilian / Social Social
Governor (Afghanistan)	Provincial Government Local
Administrative Body (Afghanistan)	Government
Men (Australia)	General Population / Civilian / Social Social
Lawmaker (Russia)	Legislative / Parliamentary Government
Kem Sokha	Cambodia, Libertarian Parties Ideological (National) Major Party Opposition Major Party (Out Of Government)
Taliban	Afghanistan, Sunni International Religious Ideological Dissident Insurgents Fundamentalist
Military (Afghanistan)	Military Government
Alain Berset	Switzerland, Interior / Home Ministry Executive Upper House Executive Office Parties Legislative / Parliamentary Cabinet Elite Ideological Center Left (National) Major Party Government
Nawaz Sharif	Pakistan, Executive Exiles Government Defense / Security Ministry Executive Office International Religious Center Right Parties Muslim Elite Ideological Dissident (National) Major Party Foreign Ministry
Pakistan Muslim League (N)	Pakistan, International Religious Center Right Parties Muslim Ideological (National) Major Party
Government (Pakistan)	Government
Scholar (Afghanistan)	Education Social
Protester (India)	Dissident Protestors / Popular Opposition / Mobs
Military Personnel - Special (India)	Military Government
Citizen (India)	General Population / Civilian / Social Social
Ministry of Tourism (India)	Tourism Ministry Executive Government
Bharatiya Janata	India, (National) Major Party Parties Opposition Major Party (Out Of Government)
Lawmaker (India)	Legislative / Parliamentary Government
Police (Thailand)	Police Government
Citizen (Thailand)	General Population / Civilian / Social Social
Citizen (South Korea)	General Population / Civilian / Social Social
Government (South Korea)	Government
Jacob Gedleyihlekisa Zuma	South Africa, Executive Far Left Executive Office Government Major Party (In Government) International Religious Parties Legislative / Parliamentary Elite Ideological (National) Major Party Government Protestant
Vladimir Putin	Russian Federation, Executive Executive Office Center Right Parties Elite Ideological (National) Major Party Government
Police (Russia)	Police Government
Hassan Rouhani	Iran, Executive Defense / Security Ministry Executive Office Parties Elite Ideological Far Right (National) Major Party Government Religious Government
Protester (Iran)	Dissident Protestors / Popular Opposition / Mobs
Unspecified Actor	Unspecified
Main Opposition (Canada)	Dissident Protestors / Popular Opposition / Mobs
Liberals (Canada)	Center Left Parties Ideological
Democratic Progressive Party	Taiwan, Nationalist Provincial Party Government Major Party (In Government) Center Right Parties Ideological (National) Minor Party Center Left (National) Major Party Opposition Major Party (Out Of Government)
Citizen (International)	General Population / Civilian / Social Social
United Kingdom	United Kingdom, Regional Diplomatic IGOs International Government Organization Regional
Citizen (United States)	General Population / Civilian / Social Social
Election Commission (India)	Executive Elections Ministry Government
Government (India)	Government
Border Security Force	India, Police Government
High Commission (India)	Government
Foreign Affairs (Iran)	Executive Foreign Ministry Government
Government (Canada)	Government
Military Personnel - Special (Afghanistan)	Military Government
Citizen (Iran)	General Population / Civilian / Social Social
Donald Trump	United States, Executive Business Executive Office Social Government
Czech Republic	Czech Republic, Regional Diplomatic IGOs International Government Organization Regional
Citizen (Africa)	General Population / Civilian / Social Social
Combatant (Somalia)	Unidentified Forces
Military (Somalia)	Military Government
Al-Shabaab	Somalia, Dissident Insurgents International Religious Muslim
Military Personnel (Somalia)	Military Government
Peace, Unity, and Development Party	Somalia, Provincial Party Parties
Police (United Kingdom)	Police Regional Regional Diplomatic IGOs International Government Organization Government
Criminal (United Kingdom)	Regional Criminals / Gangs Regional Diplomatic IGOs International Government Organization Dissident
Citizen (Peru)	General Population / Civilian / Social Social
António Manuel de Oliveira Guterres	Portugal, Global International Religious Catholic Global Diplomatic IGOs Parties International Government Organization Elite Ideological (National) Minor Party Center Left Government
Joseph Kabila	Democratic Republic of Congo, Executive Executive Office Parties Elite Ideological Center Left (National) Major Party Government
Joshua Wong	Hong Kong, Dissident Protestors / Popular Opposition / Mobs
African National Congress	South Africa, Far Left Government Major Party (In Government) Parties Ideological (National) Major Party
Healthcare Facility (Kenya)	Medical / Health Social
Joseph James Mungai	Tanzania, Interior / Home Ministry Executive Unicameral Agriculture / Fishing / Forestry Ministry Legislative / Parliamentary Cabinet Government
Israeli Defense Forces	Israel, Military Government
Bank (Iran)	Business Social
Attacker (India)	Criminals / Gangs Dissident
Government (North Korea)	Government
Guerrilla (India)	Dissident Rebel
Militant (Jaish-e-Mohammad)	Dissident Separatists International Dissident International Terrorists
Business (Taiwan)	Business Social
Tsai Ing-wen	Taiwan, Executive Nationalist Executive Office Government Major Party (In Government) Parties Elite Ideological Center Left (National) Major Party Government Opposition Major Party (Out Of Government)
Foreign Affairs (Honduras)	Executive Foreign Ministry Government
Juan Orlando Hernández	Honduras, Executive Executive Office Unicameral Center Right Parties Legislative / Parliamentary Elite Ideological (National) Major Party Government
Ansar al-Islam	Iraq, Sunni Radicals / Extremists / Fundamentalists International Religious International Ethnic Kurd (Ethnic Group) Dissident
Somkid Jatusripitak	Thailand, Executive Finance / Economy / Commerce / Trade Ministry Parties Elite Protestors / Popular Opposition / Mobs Dissident (National) Major Party Government Opposition Major Party (Out Of Government)
European Union	International Government Organizations, Regional Diplomatic IGOs International Government Organization Regional
Sergey Viktorovich Lavrov	Russian Federation, Executive Government Center Right Parties Cabinet Ideological (National) Major Party Foreign Ministry
Martin Stropnický	Czech Republic, Executive Government Defense / Security Ministry Executive Office Lower House Legislative / Parliamentary Elite Foreign Ministry
Criminal (Israel)	Criminals / Gangs Dissident
Lawyer/Attorney (India)	Legal Social
Alexander Downer	Australia, Executive Government Parties Elite (National) Major Party Foreign Ministry Opposition Major Party (Out Of Government)
Alexis Tsipras	Greece, Executive Far Left Executive Office Parties Ideological (National) Major Party Government Opposition Major Party (Out Of Government)
Government (Greece)	Government
Criminal (India)	Criminals / Gangs Dissident
Muhammadu Buhari	Nigeria, Executive Government Executive Office International Religious International Ethnic Parties Muslim Elite Ideological (National) Minor Party Center Left (National) Major Party Fulani / Fulbe Far Right
Bank (India)	Business Social
Ashraf Ghani Ahmadzai	Afghanistan, Development NGOs Executive Global Government Executive Office Pashtun International Religious International Ethnic Nongovernmental Organizations / Activists International Government Organization Muslim Social Global Development IGOs Global Economic/Financial/Trade IGOs Education
Muslim (Afghanistan)	National Religious Muslim International Religious Social
Newspaper (Afghanistan)	Social Media
Military (Kenya)	Military Government
Militant (Kenya)	Unidentified Forces
Police (Iran)	Police Government
Student (Iran)	Education Social
Military Personnel - Special (Iran)	Military Government
Police (Kenya)	Police Government
National Elections Commission of the Republic of Liberia	Liberia, Executive Elections Ministry Government
Rioter (Iran)	Dissident Protestors / Popular Opposition / Mobs
Government (Ukraine)	Government
Military (Ukraine)	Military Government
Member of Parliament (Pakistan)	Legislative / Parliamentary Government
Lower House of Parliament (Pakistan)	Legislative / Parliamentary Government
Other Authorities / Officials (Israel)	Government
Women (Palestinian Territory, Occupied)	General Population / Civilian / Social Social
Citizen (Democratic Republic of Congo)	General Population / Civilian / Social Social
Religion (Democratic Republic of Congo)	National Religious Social
Head of Government (Democratic Republic of Congo)	Executive Office Executive Government
Protester (Democratic Republic of Congo)	Dissident Protestors / Popular Opposition / Mobs
Opposition Supporter (Democratic Republic of Congo)	Dissident Protestors / Popular Opposition / Mobs
Defense / Security Ministry (Iran)	Defense / Security Ministry Executive Government
Moon Jae-in	South Korea, Executive Office Executive Government
Police (South Korea)	Police Government
Fire Brigade (South Korea)	Government
Militant (India)	Unidentified Forces
Armed Gang (India)	Unidentified Forces
Citizen (United Kingdom)	Regional Regional Diplomatic IGOs General Population / Civilian / Social International Government Organization Social
Pope Francis	Argentina, Religious Majority International Religious Catholic National Religious Social Government
Citizen (Holy See (Vatican City State))	General Population / Civilian / Social Social
Nursultan Nazarbayev	Kazakhstan, Global Executive Nationalist Executive Office Parties Global Economic/Financial/Trade IGOs International Government Organization Elite Ideological (National) Major Party Government
Citizen (Kazakhstan)	General Population / Civilian / Social Social
Emomalii Rahmon	Tajikistan, Sunni Executive Executive Office International Religious Elite Government
Citizen (Tajikistan)	General Population / Civilian / Social Social
Other Authorities / Officials (India)	Government
Militant (Syria)	Unidentified Forces
Military (Syria)	Military Government
Activist (Syria)	Human Rights NGOs Nongovernmental Organizations / Activists Nongovernmental Organization (International) Human Rights IGOs
Party Member (Nigeria)	Parties
Toronto Police Service	Canada, Municipal Divisions Police Government
Criminal (Canada)	Criminals / Gangs Dissident
Boris Johnson	United Kingdom, Executive Government Regional Executive Office Regional Diplomatic IGOs Center Right Parties Local Legislative / Parliamentary Municipal Cabinet Elite Ideological International Government Organization (National) Major Party Foreign Ministry
Giorgi Kvirikashvili	Georgia, Executive Government Executive Office Elite Foreign Ministry
Media Personnel (Senegal)	Social Media
Socialist Party (Senegal)	Parties
Citizen (Yemen)	General Population / Civilian / Social Social
Ministry (Yemen)	Government
Children (Yemen)	General Population / Civilian / Social Social
Women (Yemen)	General Population / Civilian / Social Social
Citizen (Nigeria)	General Population / Civilian / Social Social
Christian (Nigeria)	National Religious Christian International Religious Social
Medical Personnel (India)	Nongovernmental Organizations / Activists Medical / Health NGOs
Military (United States)	Military Government
Attacker (Oman)	Criminals / Gangs Dissident
Military Personnel (Oman)	Military Government
Sheikh Hamad bin Isa al Khalifah	Bahrain, Elite Government
Member of the Judiciary (Bahrain)	Judicial Government
Citizen (Bahrain)	General Population / Civilian / Social Social
Foreign Affairs (Palestinian Territory, Occupied)	Executive Foreign Ministry Government
Citizen (Palestinian Territory, Occupied)	General Population / Civilian / Social Social
Government (Syria)	Government
Syrian Observatory for Human Rights	Syria, Dissident Exiles
Citizen (Syria)	General Population / Civilian / Social Social
